Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
"Congo, Dem. Rep.",ZAR,397.264871,150.4213805,171.2340121,169.9085913,189.5887135,213.310459,246.8028136,273.4864797,310.7310244,286.0481803,311.247896,350.2706542,390.7066035,413.6970577,442.3395394
"Congo, Rep.",COG,1035.584462,877.626394,927.2695886,1049.317595,1362.198833,1737.611546,2144.834943,2259.269413,3094.10972,2428.260233,2953.185008,3453.221229,3191.164299,3205.457783,3147.072161
Costa Rica,CRI,4062.322308,4104.184083,4145.586093,4245.677021,4441.41216,4700.014926,5228.025413,6024.078487,6736.167819,6546.565554,7985.951035,8963.680052,9733.396931,10461.57682,10415.44438
Cote d'Ivoire,CIV,648.8107641,663.6413459,718.453113,875.0860951,929.893384,942.2163849,962.9184427,1078.541502,1257.675582,1233.304856,1236.085198,1231.867834,1281.382865,1447.222821,1545.942249
Croatia,HRV,4919.628069,5245.421419,6053.716037,7805.881418,9365.742468,10224.24059,11363.41845,13546.69872,15893.86056,14157.14416,13509.18582,14542.1776,13235.97757,13574.97804,13475.25896
Cuba,CUB,2749.463492,2841.176483,3003.288468,3201.250272,3398.620012,3786.875329,4677.709014,5193.484286,5385.740727,5494.925311,5688.666732,6092.613902,6448.155635,6789.849597,..
Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,14307.35353,14723.21047,15988.27504,20110.12017,23578.42935,24738.00939,26455.13237,30915.48639,34950.3513,31673.45771,30438.90019,31836.61951,28868.27382,27910.61983,27194.39184
Czech Republic,CZE,5994.528277,6594.717465,8011.898074,9741.058384,11667.63212,13317.72983,15159.14115,18333.9459,22649.37934,19698.49209,19763.9638,21656.94142,19640.92866,19813.87157,19502.41733
Denmark,DNK,30743.55917,30751.64946,33228.69291,40458.77064,46487.51491,48816.83586,52041.00297,58501.13832,64181.99467,57895.50122,57647.66876,61304.0612,57636.12531,59818.63153,60718.3927
Djibouti,DJI,762.8838243,779.7667866,792.9638513,822.0970501,867.68359,910.3645074,974.5642374,1060.81494,1234.013356,1279.251948,1358.4605,1472.014205,1586.780133,1683.429923,1813.596566
